Name,RuleId,DisplayName,UnlockSkillId,PatternType,OrderedActionIdsCsv,RequiredTagsCsv,RequiredMediumsCsv,RequiredContextsCsv,RequiredEnvironmentTagsCsv,RequiredOutcomeEventsCsv,LearningSourceTypesCsv,RequiredWitnessSkillIdsCsv,RequiredBookIdsCsv,RequiredRepetitions,RequiredEncounterCount,RequiredDistinctEncounterVariance,ActionWindowCount,TimeWindowSeconds,TurnWindowCount,OutOfCombatProgressMultiplier,EliteOrBossProgressMultiplier,LowHealthProgressMultiplier,PerEncounterFullCreditCap,DormantToStirringThreshold,StirringToAwakeningThreshold,AwakeningToManifestedThreshold,ProgressDecayPerHour,Notes
dr_fire_tornado_mastery,dr_fire_tornado_mastery,Master Both Fire-Wind Orders,fire_tornado,Hybrid,fireball|gust,fire|wind,,combat,,burn_applied|explosion_triggered|enemy_hit,discovery|observation,fire_tornado,book_vortex_incantations,18,4,3,3,8,2,0.2,1.8,1.4,6,20,60,120,0.5,Requires demonstrating both order variants over multiple encounters
dr_ignite_weapon_unlock,dr_ignite_weapon_unlock,Repeated Fire Weapon Imbuing,ignite_weapon,ContextRepeat,fireball|basic_attack,fire|weapon,weapon,combat,,burn_applied|weapon_hit,discovery|book,,book_weapon_embers,14,3,3,3,10,2,0.25,1.5,1.2,5,12,35,80,0.35,Track fire applied to weapon medium before kills and repeated follow-up swings
dr_fire_punch_gloves,dr_fire_punch_gloves,Fire Cast Onto Gloves Practice,fire_punch,ContextRepeat,fireball|basic_attack,fire|unarmed,gloves,combat,,enemy_hit|burn_applied,discovery|observation,fire_punch_master,book_combustive_fists,14,3,3,3,8,2,0.25,1.5,1.25,5,20,50,95,0.4,Glove medium plus unarmed outcomes unlocks fire punch over time
dr_blink_sprint_lightning,dr_blink_sprint_lightning,Sprint Lightning Repositioning,Blink,Hybrid,spark_jolt,lightning|movement,boots,sprinting|dodging|combat,,reposition_success|dodge_success,discovery|book,,book_flash_step_manual,16,4,3,2,6,2,0.1,1.9,1.5,4,12,40,85,0.45,Grant extra progress when damage avoided shortly after cast
dr_conductive_surge_water,dr_conductive_surge_water,Lightning Through Water,conductive_surge,EnvironmentInteraction,spark_jolt,lightning|environment|water,,combat,water,chain_hit_count_gte_2|enemy_hit_count_gte_3,discovery|observation,conductive_surge,book_conductive_theory,15,4,3,2,10,2,0.2,1.8,1.3,5,18,55,110,0.45,Water context with chain results teaches conductive surge
dr_explosion_from_barrels,dr_explosion_from_barrels,Explosive Object Detonation Practice,explosion,EnvironmentInteraction,fireball,fire|explosive|environment,object,combat,explosive,explosion_triggered,discovery|book,,book_demolition_runes,12,3,3,1,12,2,0.2,1.7,1.2,4,16,50,100,0.4,Must trigger real world explosions and not only spell impacts
dr_chain_detonation_multi_blasts,dr_chain_detonation_multi_blasts,Multi-Explosion Encounter Mastery,chain_detonation,EnvironmentInteraction,explosion,explosive|chain|environment,,combat,explosive,multi_explosion_same_encounter|enemy_hit_count_gte_4,discovery|observation,chain_detonation,book_siege_alchemy,14,4,3,2,15,3,0.15,2.0,1.3,4,22,65,125,0.5,Requires multiple distinct chain explosions in one encounter across several fights
dr_backdraft_from_oil,dr_backdraft_from_oil,Oil Fire Plus Wind Backdraft,backdraft,EnvironmentInteraction,fireball|gust,fire|wind|oil,ground|object,combat,oil,burning_surface_created|enemy_hit_count_gte_2,discovery|observation,backdraft,book_refinery_accidents,14,4,3,3,10,2,0.2,1.8,1.35,5,18,52,105,0.45,Oil ignition then gust directionality is required order sensitive pattern
dr_sky_lance_airborne_cast,dr_sky_lance_airborne_cast,Aerial Casting Discipline,sky_lance,Hybrid,spark_jolt|frost_shard,airborne|movement|spell,,airborne|combat,,enemy_hit|downward_hit,discovery|observation,sky_lance,book_aerial_forms,16,4,3,2,7,2,0.2,1.7,1.4,5,15,45,95,0.4,Accepts lightning or ice aerial casts with downward success outcomes
dr_stone_breaker,dr_stone_breaker,Melee Into Earth Finisher,stone_breaker,Sequence,basic_attack|stone_spike,earth|melee|ground,,combat,,enemy_hit|stagger_applied,discovery|trainer,,book_quarry_forms,12,3,3,3,8,2,0.2,1.6,1.2,5,18,50,95,0.35,Encourages melee confirmed earth follow-up timing
dr_shatter_squall,dr_shatter_squall,Ice Wind Shatter Patterns,shatter_squall,Sequence,frost_shard|gust,ice|wind,,combat,,brittle_applied|enemy_hit_count_gte_2,discovery|book,,book_shatter_squall_notes,14,4,3,3,8,2,0.2,1.7,1.25,5,18,50,100,0.45,Order-sensitive chilled target fracture combo
dr_glacial_upthrust,dr_glacial_upthrust,Frozen Ground Earth Eruption,glacial_upthrust,Sequence,frost_shard|stone_spike,ice|earth|ground,ground,combat,,slow_applied|enemy_hit,discovery|book,,book_tectonic_frost,13,4,3,3,10,2,0.2,1.7,1.25,5,18,52,105,0.45,Cold then earth interaction on same lane or zone
dr_magnetic_lash_metal,dr_magnetic_lash_metal,Metal Conductivity Combat Lessons,magnetic_lash,EnvironmentInteraction,spark_jolt,lightning|metal|environment,,combat,metal,ricochet_hit|enemy_hit_armored,discovery|observation,conductive_surge,book_armory_currents,14,4,3,2,10,2,0.2,1.8,1.25,5,18,54,108,0.45,Armored or metallic surfaces raise progress faster
