Name,SkillId,DisplayName,Summary,Description,SkillType,TargetingMode,ResourceType,ResourceCost,CooldownSeconds,CastTimeSeconds,RangeUnits,RadiusUnits,ScalingPrimaryStat,ScalingPrimaryCoefficient,ScalingSecondaryStat,ScalingSecondaryCoefficient,TagsCsv,EffectIdsCsv,SynergyRuleIdsCsv,DiscoveryRuleIdsCsv,StartingMasteryStage,StirringProgressThreshold,AwakeningProgressThreshold,ManifestedProgressThreshold,LearningSourcesCsv,WitnessSkillIdsCsv,BookIdsCsv,IconToken,Category,CharacterAnimationAsset,EffectAnimationAsset,SkillIconTexture
basic_attack,basic_attack,Basic Attack,Core melee strike,Standard weapon attack used as a baseline for combo tracking,Active,TargetUnit,Stamina,0,0,0,180,0,Strength,0.4,Dexterity,0.2,melee|weapon|attack,eff_basic_attack_hit,sy_melee_after_earth|sy_weapon_fire_coat,dr_blazing_uppercut|dr_stone_breaker,Manifested,0,0,0,trainer|default_start,,guide_basic_combat,BA,Basic,,,
heal_wave,heal_wave,Heal Wave,Starter healing pulse,Small restorative wave that stabilizes allies and teaches support timing,Active,Area,Mana,12,8,0.6,500,220,Wisdom,0.8,Intelligence,0.25,support|heal|water,eff_heal_wave_pulse,sy_heal_after_dodge,dr_restorative_current,Dormant,15,45,90,trainer|book,,book_novice_restoration,HW,Light,,,
fireball,fireball,Fireball,Explosive fire projectile,Hurls a fire projectile that applies burn and can ignite oil or explosives,Active,TargetUnit,Mana,18,4,0.8,1200,180,Intelligence,1.1,Wisdom,0.2,fire|projectile|spell|environment,eff_fireball_burst|eff_burn_dot,sy_fireball_then_gust|sy_gust_then_fireball|sy_fire_on_oil_then_gust|sy_fire_explosive_chain,dr_fire_tornado_mastery|dr_explosion_from_barrels|dr_backdraft_from_oil,Manifested,0,0,0,default_start,,book_pyromancy_apprentice,FB,Elemental,,,
gust,gust,Gust,Directional wind burst,Pushes enemies and objects while shaping existing elemental effects,Active,Area,Mana,10,3,0.4,850,260,Intelligence,0.6,Dexterity,0.3,wind|control|spell|movement,eff_gust_push|eff_gust_pull_light,sy_fireball_then_gust|sy_gust_then_fireball|sy_fire_on_oil_then_gust|sy_ice_then_gust_shards,dr_fire_tornado_mastery|dr_backdraft_from_oil|dr_shatter_squall,Dormant,20,60,110,trainer|observation,fire_tornado,book_aeromancy_notes,GU,Elemental,,,
spark_jolt,spark_jolt,Spark Jolt,Fast lightning cast,Quick lightning bolt that rewards movement and conductive surfaces,Active,TargetUnit,Mana,14,2.5,0.3,1000,120,Intelligence,0.9,Dexterity,0.35,lightning|projectile|spell|movement|environment,eff_spark_jolt_hit|eff_shock_debuff,sy_lightning_boots_movement|sy_sprint_lightning_cast|sy_lightning_in_water|sy_lightning_on_metal,dr_blink_sprint_lightning|dr_conductive_surge_water|dr_magnetic_lash_metal,Dormant,20,55,100,trainer|default_start,,book_storm_letters,SJ,Elemental,,,
frost_shard,frost_shard,Frost Shard,Ice projectile with slow,Launches a piercing ice shard that slows and primes brittle targets,Active,TargetUnit,Mana,16,3.5,0.5,1100,140,Intelligence,0.95,Wisdom,0.2,ice|projectile|spell|cc,eff_frost_shard_hit|eff_chill_slow,sy_ice_then_gust_shards|sy_ice_ground_then_earth_spike,dr_shatter_squall|dr_glacial_upthrust,Dormant,20,60,110,trainer|book,,book_cold_veins,FS,Elemental,,,
stone_spike,stone_spike,Stone Spike,Earth spike from ground,Raises a damaging spike from ground or unstable terrain,Active,Ground,Mana,20,5,0.9,900,180,Strength,0.75,Intelligence,0.45,earth|ground|spell|aoe,eff_stone_spike_upthrust|eff_brief_stagger,sy_earth_after_melee|sy_ice_ground_then_earth_spike,dr_stone_breaker|dr_glacial_upthrust,Dormant,25,70,120,trainer|book,,book_geomancy_intro,SS,Elemental,,,
ignite_weapon,ignite_weapon,Ignite Weapon,Imbue weapon with fire,Coats equipped weapon in flame and improves burn on weapon hits,Active,Weapon,Mana,15,12,0.4,0,0,Intelligence,0.6,Strength,0.35,fire|weapon|buff|melee,eff_ignite_weapon_buff|eff_weapon_burn_proc,sy_weapon_fire_coat|sy_fire_punch_dash_chain,dr_ignite_weapon_unlock,Awakening,10,35,80,discovery|book,,book_weapon_embers,IW,Sword,,,
fire_punch,fire_punch,Fire Punch,Empowered burning strike,Channels fire into gloves or fists for explosive close range hits,Active,Equipment,Stamina,20,6,0.2,160,90,Strength,0.9,Intelligence,0.4,fire|melee|unarmed|gloves,eff_fire_punch_hit|eff_burn_dot,sy_gloves_fire_unarmed|sy_fire_punch_dash_chain,dr_fire_punch_gloves|dr_blazing_uppercut,Dormant,20,50,95,discovery|observation,fire_punch_master,book_combustive_fists,FP,Light,,,
blink,blink,Blink,Short-range reposition teleport,Converts storm casting movement habits into a short tactical teleport,Active,Self,Mana,22,9,0.1,650,0,Dexterity,0.65,Intelligence,0.55,lightning|movement|teleport|utility,eff_blink_move|eff_afterimage_dodge_window,sy_lightning_boots_movement|sy_sprint_lightning_cast,dr_blink_sprint_lightning,Stirring,12,40,85,discovery|book,,book_flash_step_manual,BL,Arcane,,,
