Name,RuleId,DisplayName,OrderedActionIdsCsv,RequiredTagsCsv,RequiredMediumsCsv,RequiredContextsCsv,RequiredEnvironmentTagsCsv,RequiredOutcomeEventsCsv,WindowType,WindowValue,ThresholdOne,ThresholdTwo,ThresholdThree,BonusStepOne,BonusStepTwo,BonusStepThree,SameEncounterRepeatPenalty,UnusedDecayPerMinute,RiskContextBonusMultiplier,UnlockCandidateSkillIdsCsv,CounterpartOrderRuleId,Notes
sy_fireball_then_gust,sy_fireball_then_gust,Fireball Then Gust Fans Flames,fireball|gust,fire|wind,,,combat,burn_applied|enemy_hit,LastNActions,3,5,15,30,+10 percent burn duration,+20 percent burn tick rate,Burn spreads to nearby enemies,0.35,0.05,1.5,fire_tornado,sy_gust_then_fireball,Wind after fire amplifies existing flames
sy_gust_then_fireball,sy_gust_then_fireball,Gust Then Fireball Shapes Blast,gust|fireball,fire|wind,,,combat,enemy_hit|explosion_triggered,LastNActions,3,5,15,30,+5 percent fireball radius,+10 percent radius and slight pull,Blast gains pull in at center,0.35,0.05,1.5,fire_tornado,sy_fireball_then_gust,Wind before fire shapes projectile and detonation
sy_weapon_fire_coat,sy_weapon_fire_coat,Fire Cast Onto Weapon,fireball|basic_attack,fire|weapon,weapon,combat,,burn_applied|weapon_hit,LastNSeconds,8,4,12,24,Low burn proc chance,Consistent bonus fire damage,Weapon embers and stronger burn proc,0.4,0.03,1.35,ignite_weapon|flame_slash,,Coating weapon with fire before attacks
sy_gloves_fire_unarmed,sy_gloves_fire_unarmed,Fire Cast Onto Gloves,fireball|basic_attack,fire|unarmed,gloves,combat,,burn_applied|enemy_hit,LastNSeconds,8,4,12,24,Unarmed burn chance +5 percent,Unarmed hit adds fire splash,Combustive fist impact spark,0.4,0.03,1.35,fire_punch,,Repeated glove infusion primes fire punch path
sy_lightning_boots_movement,sy_lightning_boots_movement,Lightning On Boots While Moving,spark_jolt,lightning|movement,boots,moving|sprinting,,,LastNSeconds,6,6,18,36,Reduced moving cast penalty,Small speed burst after cast,Afterimage step window after cast,0.3,0.04,1.6,blink,,Boots medium + motion teaches blink prep
sy_sprint_lightning_cast,sy_sprint_lightning_cast,Sprinting Lightning Cast Chain,spark_jolt,lightning|movement,,sprinting|combat,,enemy_hit|reposition_success,LastNSeconds,10,8,20,40,Cast time reduced by 0.1s,Cast time reduced by 0.2s and dodge grace,0.3s cast reduction and afterimage dodge,0.3,0.04,1.8,blink,,Higher credit near enemies or low HP
sy_jump_cast_lightning,sy_jump_cast_lightning,Aerial Lightning Casting,spark_jolt,lightning|movement,,airborne|combat,,enemy_hit,LastNSeconds,6,5,14,28,Downward arc correction,Improved downward range,Air-cast precision window,0.35,0.04,1.4,sky_lance,,Airborne lightning patterns feed sky lance
sy_jump_cast_ice,sy_jump_cast_ice,Aerial Ice Casting,frost_shard,ice|movement,,airborne|combat,,enemy_hit|slow_applied,LastNSeconds,6,5,14,28,Improved shard travel line,Extra chill duration,Shatter-ready aerial impact,0.35,0.04,1.4,sky_lance,,Airborne ice precision contributes to sky lance variants
sy_fire_explosive_chain,sy_fire_explosive_chain,Fire On Explosives,fireball,fire|explosive|environment,object,combat,explosive,explosion_triggered,LastNSeconds,12,4,10,22,+5 percent explosion radius,+10 percent radius and chain chance,Chain reaction chance boosted,0.45,0.05,1.7,explosion|chain_detonation,,Environmental detonation mastery path
sy_lightning_in_water,sy_lightning_in_water,Lightning In Water Conducts,spark_jolt,lightning|environment|water,,combat,water,chain_hit_count_gte_2|enemy_hit,LastNSeconds,10,4,12,24,Chain jumps +1 wet target,Chain range increased on wet targets,Conductive arc forks in puddles,0.35,0.04,1.7,conductive_surge,,Water teaches conductive surge naturally
